Category,Subsystem,Functionality/Mode,What Full Coverage Requires,Current Test Case(s),Coverage Status,Notes,QEMU Model Status,QEMU Notes
CPU/ISA,Integer ALU,Add/sub/logic throughput,"Timed tight loop, cross-target cycle count (not comparable) but wall-clock is",case_cpu_int_alu.c,Covered,,Modeled,TCG's target/arm ALU emulation is architecturally exact; not this project's own device model but no known bug.
CPU/ISA,Integer ALU,Multiply/UMULL/SMULL correctness,Known-input/known-output multiply chain checked against precomputed values,case_isa_mul.c,Covered,"Verified OK on real hardware (2026-07-15): UMULL/SMULL via inline asm, checked against Python-computed 64-bit products.",Modeled,TCG multiply helpers (target/arm) are architecturally exact; no qemu-gnw-specific bug documented.
CPU/ISA,Integer Divide,UDIV/SDIV normal-operand correctness,"Divide known operands via inline asm, compare to expected quotient/remainder",,Not Covered,"Only the zero-divisor edge case is tested (isa_int_edge), not general divide correctness",Modeled,TCG divide helpers are architecturally exact.
CPU/ISA,Integer Divide,Divide-by-zero (UDIV/SDIV) non-trapping result,"Inline asm UDIV/SDIV with zero divisor, verify architectural all-zero result (DIV_0_TRP=0 path)",case_isa_int_edge.c,Covered,"Must use inline asm, not C '/' operator - see CLAUDE.md UB note",Modeled,TCG implements the all-zero DIV_0_TRP=0 result per architecture.
CPU/ISA,Integer Divide,Divide-by-zero trapping path (DIV_0_TRP=1),"Arm SCB->CCR DIV_0_TRP, expect UsageFault, needs fault-recovery",,Not Covered,"Deliberately deferred, see test-coverage-plan.md Wave B",Modeled,target/arm implements CCR.DIV_0_TRP UsageFault generation generically; not this project's own code.
CPU/ISA,Saturating arithmetic,QADD/QSUB/SSAT/USAT/QDADD/QDSUB boundary correctness,"CMSIS intrinsics at INT32_MAX/MIN, verify clamped not wrapped",case_isa_int_edge.c,Partial,Only QADD/QSUB/SSAT covered; USAT/QDADD/QDSUB/QASX/SHADD etc. not exercised,Partial,"Only QADD/QSUB/SSAT covered; USAT/QDADD/QDSUB/QASX/SHADD etc. not exercised,Modeled,All these are generic TCG target/arm instruction helpers; no known gap in this fork."
CPU/ISA,Signed overflow wraparound,ADD/SUB at INT32_MAX/MIN boundary,well-defined via unsigned bit-reinterpret,case_isa_int_edge.c,Covered,,Modeled,Generic TCG ALU behavior.
CPU/ISA,Bit manipulation,CLZ/RBIT/REV/REV16/BFI/BFC/UBFX/SBFX correctness,"Known bit patterns through each instruction via inline asm/intrinsic, compare expected",,Not Covered,No case exercises any of these,Modeled,"Generic TCG target/arm instruction decode/helpers, architecturally exact."
CPU/ISA,Unaligned access,"32/16-bit load/store at odd addresses, non-trapping path",Byte-by-byte cross-check vs aligned reference,case_isa_unaligned.c,Covered,,Modeled,QEMU's softmmu handles unaligned accesses per Cortex-M7 semantics.
CPU/ISA,Unaligned access,Trapping path (UNALIGN_TRP=1),"Force trap bit, expect UsageFault via fault-recovery",,Not Covered,"Deliberately deferred, see Wave B",Modeled,target/arm implements CCR.UNALIGN_TRP fault generation generically.
CPU/ISA,Exclusive access,LDREX/STREX/CLREX correctness (atomic RMW),"Two-context read-modify-write with induced contention, verify exclusive monitor behavior",,Not Covered,No case touches exclusive-access instructions at all,Modeled,"Generic TCG exclusive-monitor implementation (single-core here, so no real contention case exists, but single-CPU LDREX/STREX/CLREX semantics are exact)."
CPU/ISA,Branch prediction,Misprediction-heavy loop throughput,"PRNG-driven unpredictable branch loop, timed",case_cpu_branch_mispredict.c,Covered,Throughput-only by design (no 'correct' answer for a speed metric),N/A,"TCG has no branch predictor to model; timing is a QEMU/TCG-throughput artifact, not a device-model correctness question."
CPU/ISA,FPU (single-precision),Add/mul/div throughput,"Tight float loop, DWT-timed",case_cpu_fpu_throughput.c,Covered,,Modeled,"Generic TCG VFP emulation (softfloat), architecturally exact."
CPU/ISA,FPU (single-precision),NaN propagation/comparison,"IEEE-754 unordered-compare rules, quiet-NaN class preservation",case_fpu_edge_cases.c,Covered,,Modeled,QEMU's softfloat implements IEEE-754 NaN propagation/compare rules faithfully.
CPU/ISA,FPU (single-precision),Infinity arithmetic,"finite/0=Inf sign, Inf-Inf=NaN, Inf comparisons",case_fpu_edge_cases.c,Covered,,Modeled,softfloat handles infinities per IEEE-754.
CPU/ISA,FPU (single-precision),Denormal handling (FZ=0),"Verify nonzero denormal product, FPDSCR.FZ read live",case_fpu_edge_cases.c,Covered,,Modeled,softfloat computes true denormal results when FZ=0.
CPU/ISA,FPU (single-precision),Denormal flush-to-zero (FZ=1) path,"Set FPDSCR.FZ, verify denormal collapses to zero",,Not Covered,Only FZ=0 default path tested,Modeled,target/arm/vfp helpers honor FPSCR.FZ flush-to-zero.
CPU/ISA,FPU (single-precision),Rounding modes (RN/RP/RM/RZ),"Set FPSCR rounding bits, verify each mode's boundary-case result",,Not Covered,Only default round-to-nearest exercised implicitly,Modeled,softfloat implements all four IEEE rounding modes per FPSCR.RMode.
CPU/ISA,FPU,Double-precision (FPv5-D16) support,Check hardware double support and exercise double add/mul/div/compare,,Not Covered,"Project never checked/uses double-precision path; -mfpu=fpv5-d16 confirmed single+double capable, unverified whether HW double actually differs from soft-double here",Modeled,cortex-m7 TCG model implements double-precision VFP via softfloat regardless of real silicon's actual FPv5-D16 hardware datapath; functionally correct but not a hardware-timing match.
CPU/ISA,FPU,VFP exception flags (IOC/DZC/OFC/UFC/IXC/IDC),"Trigger each FPSCR cumulative exception flag, verify set/clear behavior",,Not Covered,,Modeled,softfloat sets FPSCR cumulative exception bits per IEEE-754 semantics generically in target/arm.
Interrupts/NVIC,Exception entry/return,Tail-chaining and entry latency,"Timed ISR-trigger-to-handler-entry via DWT, cross-target comparison",,Not Covered,No latency case; only static ISER/ISPR/IABR liveness snapshot exists,Partial,"armv7m.c's NVIC implements tail-chaining functionally but entry latency is a TCG dispatch-cost artifact, not a modeled hardware-cycle latency - a timed case would measure QEMU overhead, not real silicon."
Interrupts/NVIC,Priority/preemption,Nested interrupt priority grouping correctness,"Configure NVIC priority groups, verify preemption ordering with two SW-triggered IRQs",,Not Covered,,Modeled,armv7m.c's generic NVIC model implements priority-group preemption ordering per architecture.
Interrupts/NVIC,Pending/active state,ISER0/ISPR0/IABR0 (IRQn 0-31) liveness,Register readback each main-loop iteration,diag_probes.c (NVIC_STATE probe id 0),Covered,,Modeled,Standard armv7m.c NVIC register set.
Interrupts/NVIC,Pending/active state,ISER1/ISPR1/IABR1 (IRQn 32-63) liveness,Register readback each main-loop iteration,diag_probes.c (NVIC_STATE_WORD1 probe id 2),Covered,,Modeled,Standard armv7m.c NVIC register set; num-irq=160 in gnw_h7b0_soc.c:300 covers this range.
Interrupts/NVIC,Pending/active state,ISER2/ISPR2/IABR2 (IRQn 64-94) liveness,Register readback each main-loop iteration,,Not Covered,STM32H7B0 IRQ table extends past 63; word 2 unread,Modeled,"num-irq=160 (gnw_h7b0_soc.c:300) covers IRQn up to 159, so word 2 is backed by the same generic NVIC model."
Interrupts/NVIC,Software trigger,STIR/EXTI SW-interrupt-generate correctness,"Fire NVIC_SetPendingIRQ or STIR, verify handler runs and clears pended state",,Not Covered,,Modeled,Generic armv7m.c NVIC STIR handling; EXTI SW-trigger path also real (hw/misc/gnw_h7b0_exti.c).
